,model,tp,fp,tn,fn,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,thresh,fold,window_size
49,Catch22,30,17,47880,16,0.8325354616529268,-0.6664285714285715,0.6382978723404256,0.6521739130434783,0.9996450717163914,0.6451612903225806,0.8259094923799348,0.1270871257003809,0.11961141242388788,-0.3663099505481567,0.5,5,5
50,ExtraTrees,16,2,21926,3,0.04587900519450258,-0.8421052631578947,0.8888888888888888,0.8421052631578947,0.9999087924115286,0.8648648648648649,0.9210070277847117,0.03260841505439944,0.04891262258159916,-0.13043366021759775,0.5,1,7
51,MiniRocket,14,4,21924,5,0.23665225240744786,-2.3684210526315788,0.7777777777777778,0.7368421052631579,0.9998175848230573,0.7567567567567568,0.8683298450431076,0.06521683010879888,0.0815210376359986,-0.22825890538079607,0.5,1,7
52,QUANT,19,4,21924,0,0.656939321460001,-1.2105263157894737,0.8260869565217391,1.0,0.9998175848230573,0.9047619047619048,0.9999087924115286,0.06521683010879888,0.0,-0.06521683010879888,0.5,1,7
53,Piping,16,5,21923,3,10.101005435655901,-2.3157894736842106,0.7619047619047619,0.8421052631578947,0.9997719810288216,0.8,0.9209386220933582,0.0815210376359986,0.04891262258159916,-0.17934628279919693,0.5,1,7
54,Catch22,13,5,21923,6,1.1445971076538743,-3.0,0.7222222222222222,0.6842105263157895,0.9997719810288216,0.7027027027027027,0.8419912536723055,0.0815210376359986,0.09782524516319832,-0.27717152796239525,0.5,1,7
55,ExtraTrees,20,2,27492,6,0.04315152570803632,-0.9070833333333334,0.9090909090909091,0.7692307692307693,0.9999272568560413,0.8333333333333334,0.8845790130434052,0.026002889932294975,0.07800866979688492,-0.18202022952606484,0.5,2,7
56,MiniRocket,24,5,27489,2,0.29169318990574894,-1.7479166666666668,0.8275862068965517,0.9230769230769231,0.9998181421401033,0.8727272727272727,0.9614475326085132,0.06500722483073744,0.026002889932294975,-0.11701300469532738,0.5,2,7
57,QUANT,19,2,27492,7,0.6877448978451358,-0.7820833333333334,0.9047619047619048,0.7307692307692307,0.9999272568560413,0.8085106382978723,0.8653482438126361,0.026002889932294975,0.09101011476303242,-0.2080231194583598,0.5,2,7
58,Piping,19,3,27491,7,14.035952922186539,-0.7687499999999999,0.8636363636363636,0.7307692307692307,0.999890885284062,0.7916666666666666,0.8653300580266463,0.03900433489844246,0.09101011476303242,-0.2210245644245073,0.5,2,7
59,Catch22,18,5,27489,8,1.2685799040962515,-0.6347916666666666,0.782608695652174,0.6923076923076923,0.9998181421401033,0.7346938775510204,0.8460629172238978,0.06500722483073744,0.1040115597291799,-0.2730303442890972,0.5,2,7
60,ExtraTrees,5,2,12380,9,0.06278403463044864,-0.4166666666666667,0.7142857142857143,0.35714285714285715,0.9998384752059442,0.47619047619047616,0.6784906661744007,0.05769175296391381,0.25961288833761215,-0.576917529639138,0.5,3,7
61,MiniRocket,11,4,12378,3,0.36236664296352283,-2.25,0.7333333333333333,0.7857142857142857,0.9996769504118882,0.7586206896551724,0.892695618063087,0.11538350592782762,0.0865376294458707,-0.288458764819569,0.5,3,7
62,QUANT,10,2,12380,4,0.9657486421753507,-1.75,0.8333333333333334,0.7142857142857143,0.9998384752059442,0.7692307692307693,0.8570620947458292,0.05769175296391381,0.11538350592782762,-0.288458764819569,0.5,3,7
63,Piping,12,5,12377,2,15.734378957161516,-1.8333333333333333,0.7058823529411765,0.8571428571428571,0.9995961880148603,0.7741935483870968,0.9283695225788586,0.1442293824097845,0.05769175296391381,-0.25961288833761215,0.5,3,7
64,Catch22,13,3,12379,1,1.7492737538513488,-1.4166666666666667,0.8125,0.9285714285714286,0.9997577128089161,0.8666666666666667,0.9641645706901724,0.0865376294458707,0.028845876481956904,-0.1442293824097845,0.5,3,7
65,ExtraTrees,22,1,36751,9,0.03647285217349933,-0.7419354838709677,0.9565217391304348,0.7096774193548387,0.9999727905964301,0.8148148148148148,0.8548251049756344,0.00972964821105553,0.08756683389949976,-0.18486331601005504,0.5,4,7
66,MiniRocket,24,5,36747,7,0.20077234368121072,-0.8364516129032258,0.8275862068965517,0.7741935483870968,0.9998639529821506,0.8,0.8870287506846237,0.048648241055277645,0.06810753747738871,-0.18486331601005504,0.5,4,7
67,QUANT,27,3,36749,4,0.537420149126605,-0.9009677419354839,0.9,0.8709677419354839,0.9999183717892903,0.8852459016393442,0.935443056862387,0.029188944633166587,0.03891859284422212,-0.10702613032161082,0.5,4,7
68,Piping,24,6,36746,7,9.260436896042846,-2.4170967741935487,0.8,0.7741935483870968,0.9998367435785808,0.7868852459016393,0.8870151459828388,0.05837788926633317,0.06810753747738871,-0.19459296422111058,0.5,4,7
69,Catch22,24,7,36745,7,0.8442530595468268,-0.38483870967741934,0.7741935483870968,0.7741935483870968,0.9998095341750108,0.7741935483870968,0.8870015412810538,0.06810753747738871,0.06810753747738871,-0.2043226124321661,0.5,4,7
70,ExtraTrees,29,6,47807,17,0.04412490939746231,-1.9047619047619047,0.8285714285714286,0.6304347826086957,0.9998745111162236,0.7160493827160493,0.8151546468624596,0.044854279658957955,0.1270871257003809,-0.2990285310597197,0.5,5,7
71,MiniRocket,34,14,47799,12,0.3037999812594281,-3.0235714285714286,0.7083333333333334,0.7391304347826086,0.9997071926045218,0.723404255319149,0.8694188136935652,0.1046599858709019,0.08970855931791591,-0.28407710450673374,0.5,5,7
72,QUANT,36,4,47809,10,0.7299975632831651,-1.4045238095238095,0.9,0.782608695652174,0.999916340744149,0.8372093023255814,0.8912625181981615,0.02990285310597197,0.07475713276492993,-0.17941711863583182,0.5,5,7
73,Piping,32,13,47800,14,14.724424047683957,-1.6426190476190479,0.7111111111111111,0.6956521739130435,0.9997281074184845,0.7032967032967034,0.847690140665764,0.09718427259440891,0.1046599858709019,-0.3065042443362127,0.5,5,7
74,Catch22,34,14,47799,12,1.450846158552287,-1.7616666666666665,0.7083333333333334,0.7391304347826086,0.9997071926045218,0.723404255319149,0.8694188136935652,0.1046599858709019,0.08970855931791591,-0.28407710450673374,0.5,5,7
75,ExtraTrees,13,2,21869,6,0.052195791704015344,-0.6842105263157895,0.8666666666666667,0.6842105263157895,0.9999085547071465,0.7647058823529411,0.8420595405114679,0.03260841505439944,0.09782524516319832,-0.22825890538079607,0.5,1,10
76,MiniRocket,14,4,21867,5,0.4108848042325687,-1.2105263157894737,0.7777777777777778,0.7368421052631579,0.9998171094142929,0.7567567567567568,0.8683296073387254,0.06521683010879888,0.0815210376359986,-0.22825890538079607,0.5,1,10
77,QUANT,16,5,21866,3,1.0473068303075792,-1.105263157894737,0.7619047619047619,0.8421052631578947,0.9997713867678661,0.8,0.9209383249628804,0.0815210376359986,0.04891262258159916,-0.17934628279919693,0.5,1,10
78,Piping,16,7,21864,3,12.845054850558427,-2.210526315789474,0.6956521739130435,0.8421052631578947,0.9996799414750126,0.7619047619047619,0.9208926023164536,0.11412945269039804,0.04891262258159916,-0.21195469785359636,0.5,1,10
79,Catch22,14,9,21862,5,1.8561898605026177,-4.631578947368421,0.6086956521739131,0.7368421052631579,0.9995884961821591,0.6666666666666666,0.8682153007226585,0.1467378677447975,0.0815210376359986,-0.3097799430167947,0.5,1,10
80,ExtraTrees,20,3,27419,6,0.04716867614082212,-0.82375,0.8695652173913043,0.7692307692307693,0.9998905987892933,0.8163265306122449,0.8845606840100313,0.03900433489844246,0.07800866979688492,-0.1950216744922123,0.5,2,10
81,MiniRocket,23,11,27411,3,0.447325397257414,-2.5812500000000003,0.6764705882352942,0.8846153846153846,0.9995988622274087,0.7666666666666667,0.9421071234213967,0.14301589462762238,0.03900433489844246,-0.2210245644245073,0.5,2,10
82,QUANT,19,3,27419,7,1.0096528812142145,-0.82375,0.8636363636363636,0.7307692307692307,0.9998905987892933,0.7916666666666666,0.865329914779262,0.03900433489844246,0.09101011476303242,-0.2210245644245073,0.5,2,10
83,Piping,18,5,27417,8,16.48366068866719,0.21333333333333337,0.782608695652174,0.6923076923076923,0.9998176646488222,0.7346938775510204,0.8460626784782572,0.06500722483073744,0.1040115597291799,-0.2730303442890972,0.5,2,10
84,Catch22,21,9,27413,5,1.9887656671387852,-0.718125,0.7,0.8076923076923077,0.9996717963678798,0.75,0.9036820520300938,0.11701300469532738,0.06500722483073744,-0.24702745435680226,0.5,2,10
85,ExtraTrees,5,2,12344,9,0.07036162002572692,-0.4166666666666667,0.7142857142857143,0.35714285714285715,0.9998380042118905,0.47619047619047616,0.6784904306773738,0.05769175296391381,0.25961288833761215,-0.576917529639138,0.5,3,10
86,MiniRocket,9,4,12342,5,0.5629302913428702,-2.0833333333333335,0.6923076923076923,0.6428571428571429,0.999676008423781,0.6666666666666666,0.821266575640462,0.11538350592782762,0.1442293824097845,-0.40384227074739665,0.5,3,10
87,QUANT,10,2,12344,4,1.4432796281857547,-1.8333333333333333,0.8333333333333334,0.7142857142857143,0.9998380042118905,0.7692307692307693,0.8570618592488024,0.05769175296391381,0.11538350592782762,-0.288458764819569,0.5,3,10
88,Piping,12,5,12341,2,19.254248283424854,-1.9166666666666667,0.7058823529411765,0.8571428571428571,0.9995950105297262,0.7741935483870968,0.9283689338362917,0.1442293824097845,0.05769175296391381,-0.25961288833761215,0.5,3,10
89,Catch22,12,4,12342,2,2.8094950546563506,-0.5833333333333334,0.75,0.8571428571428571,0.999676008423781,0.8,0.928409432783319,0.11538350592782762,0.05769175296391381,-0.23076701185565524,0.5,3,10
90,ExtraTrees,21,1,36658,10,0.039735954753658424,-0.6774193548387096,0.9545454545454546,0.6774193548387096,0.9999727215690554,0.7924528301886793,0.8386960382038825,0.00972964821105553,0.09729648211055529,-0.2043226124321661,0.5,4,10
91,MiniRocket,23,6,36653,8,0.3235110568260427,-1.8364516129032258,0.7931034482758621,0.7419354838709677,0.9998363294143321,0.7666666666666667,0.87088590664265,0.05837788926633317,0.07783718568844424,-0.21405226064322164,0.5,4,10
92,QUANT,25,2,36657,6,0.8143125114158362,-0.9009677419354839,0.9259259259259259,0.8064516129032258,0.9999454431381107,0.8620689655172413,0.9031985280206682,0.01945929642211106,0.05837788926633317,-0.13621507495477742,0.5,4,10
93,Piping,22,7,36652,9,11.828051056996845,-1.4170967741935483,0.7586206896551724,0.7096774193548387,0.9998090509833875,0.7333333333333333,0.8547432351691131,0.06810753747738871,0.08756683389949976,-0.2432412052763882,0.5,4,10
94,Catch22,25,11,36648,6,1.4457652903566303,-0.15903225806451612,0.6944444444444444,0.8064516129032258,0.9996999372596088,0.746268656716418,0.9030757750814173,0.10702613032161082,0.05837788926633317,-0.22378190885427715,0.5,4,10
95,ExtraTrees,31,8,47679,15,0.049582671539776704,-1.9523809523809523,0.7948717948717948,0.6739130434782609,0.9998322393943843,0.7294117647058823,0.8368726414363226,0.05980570621194394,0.1121356991473949,-0.28407710450673374,0.5,5,10
96,MiniRocket,31,12,47675,15,0.47871553830203806,-3.618571428571429,0.7209302325581395,0.6739130434782609,0.9997483590915763,0.6966292134831461,0.8368307012849185,0.08970855931791591,0.1121356991473949,-0.3139799576127057,0.5,5,10
97,QUANT,36,3,47684,10,1.0871452925895329,-1.4045238095238095,0.9230769230769231,0.782608695652174,0.9999370897728941,0.8470588235294118,0.891272892712534,0.022427139829478977,0.07475713276492993,-0.17194140535933883,0.5,5,10
98,Piping,26,8,47679,20,17.96301681501512,-1.8566666666666667,0.7647058823529411,0.5652173913043478,0.9998322393943843,0.65,0.782524815349366,0.05980570621194394,0.14951426552985986,-0.35883423727166364,0.5,5,10
99,Catch22,36,16,47671,10,2.3006808876830016,-1.9521428571428574,0.6923076923076923,0.782608695652174,0.9996644787887684,0.7346938775510204,0.8911365872204712,0.11961141242388788,0.07475713276492993,-0.26912567795374776,0.5,5,10
100,ExtraTrees,11,1,21775,8,0.06427856837109573,-0.5789473684210527,0.9166666666666666,0.5789473684210527,0.9999540778839089,0.7096774193548387,0.7894507231524808,0.01630420752719972,0.13043366021759775,-0.27717152796239525,0.5,1,15
101,MiniRocket,15,4,21772,4,0.6274822083910317,-8.947368421052632,0.7894736842105263,0.7894736842105263,0.9998163115356355,0.7894736842105263,0.8946449978730809,0.06521683010879888,0.06521683010879888,-0.19565049032639664,0.5,1,15
102,QUANT,17,6,21770,2,1.5818056131607454,-1.1578947368421053,0.7391304347826086,0.8947368421052632,0.9997244673034533,0.8095238095238095,0.9472306547043583,0.09782524516319832,0.03260841505439944,-0.1630420752719972,0.5,1,15
103,Piping,17,8,21768,2,15.571364116930043,-1.0526315789473684,0.68,0.8947368421052632,0.9996326230712711,0.7727272727272727,0.9471847325882672,0.13043366021759775,0.03260841505439944,-0.19565049032639664,0.5,1,15
104,Catch22,15,4,21772,4,3.682693542910034,-3.8947368421052633,0.7894736842105263,0.7894736842105263,0.9998163115356355,0.7894736842105263,0.8946449978730809,0.06521683010879888,0.06521683010879888,-0.19565049032639664,0.5,1,15
105,ExtraTrees,20,3,27299,6,0.055076612677664755,-0.82375,0.8695652173913043,0.7692307692307693,0.9998901179400776,0.8163265306122449,0.8845604435854235,0.03900433489844246,0.07800866979688492,-0.1950216744922123,0.5,2,15
106,MiniRocket,20,7,27295,6,0.7238867389761715,-3.113958333333333,0.7407407407407407,0.7692307692307693,0.9997436085268478,0.7547169811320755,0.8844871888788086,0.09101011476303242,0.07800866979688492,-0.24702745435680226,0.5,2,15
107,QUANT,21,4,27298,5,1.5854068094520377,-0.8564583333333333,0.84,0.8076923076923077,0.9998534905867702,0.8235294117647058,0.903772899139539,0.05200577986458995,0.06500722483073744,-0.18202022952606484,0.5,2,15
108,Piping,19,5,27297,7,19.63874984901506,0.11520833333333336,0.7916666666666666,0.7307692307692307,0.9998168632334627,0.76,0.8652930470013467,0.06500722483073744,0.09101011476303242,-0.24702745435680226,0.5,2,15
109,Catch22,20,7,27295,6,3.8414377165707077,0.15687500000000001,0.7407407407407407,0.7692307692307693,0.9997436085268478,0.7547169811320755,0.8844871888788086,0.09101011476303242,0.07800866979688492,-0.24702745435680226,0.5,2,15
110,ExtraTrees,7,2,12284,7,0.077540542661745,-1.1170833333333334,0.7777777777777778,0.5,0.9998372130880677,0.6086956521739131,0.7499186065440339,0.05769175296391381,0.20192113537369832,-0.46153402371131047,0.5,3,15
111,MiniRocket,9,5,12281,5,0.9451989539367519,-2.6666666666666665,0.6428571428571429,0.6428571428571429,0.9995930327201693,0.6428571428571429,0.8212250877886561,0.1442293824097845,0.1442293824097845,-0.43268814722935356,0.5,3,15
112,QUANT,10,2,12284,4,2.286016768873766,-1.75,0.8333333333333334,0.7142857142857143,0.9998372130880677,0.7692307692307693,0.857061463686891,0.05769175296391381,0.11538350592782762,-0.288458764819569,0.5,3,15
113,Piping,10,7,12279,4,23.487156721756307,-1.2162499999999998,0.5882352941176471,0.7142857142857143,0.999430245808237,0.6451612903225806,0.8568579800469757,0.20192113537369832,0.11538350592782762,-0.43268814722935356,0.5,3,15
114,Catch22,7,5,12281,7,5.474650555399681,0.6666666666666666,0.5833333333333334,0.5,0.9995930327201693,0.5384615384615384,0.7497965163600846,0.1442293824097845,0.20192113537369832,-0.5480716531571812,0.5,3,15
115,ExtraTrees,21,1,36503,10,0.047311077048213024,-0.16129032258064516,0.9545454545454546,0.6774193548387096,0.9999726057418366,0.7924528301886793,0.8386959802902731,0.00972964821105553,0.09729648211055529,-0.2043226124321661,0.5,4,15
116,MiniRocket,27,13,36491,4,0.5829390432850765,-0.9977419354838709,0.675,0.8709677419354839,0.9996438746438746,0.7605633802816901,0.9353058082896792,0.12648542674372187,0.03891859284422212,-0.2043226124321661,0.5,4,15
117,QUANT,26,3,36501,5,1.377842068408308,-1.4816129032258065,0.896551724137931,0.8387096774193549,0.9999178172255095,0.8666666666666667,0.9193137473224322,0.029188944633166587,0.048648241055277645,-0.12648542674372187,0.5,4,15
118,Piping,22,5,36499,9,15.660353262670123,-0.6751612903225807,0.8148148148148148,0.7096774193548387,0.9998630287091825,0.7586206896551724,0.8547702240320106,0.048648241055277645,0.08756683389949976,-0.22378190885427715,0.5,4,15
119,Catch22,25,13,36491,6,3.0343563552042587,-1.9009677419354838,0.6578947368421053,0.8064516129032258,0.9996438746438746,0.7246376811594203,0.9030477437735502,0.12648542674372187,0.05837788926633317,-0.2432412052763882,0.5,4,15
